Items,Quadrant,Ring
Incrementaldatawarehousing,Techniques,Assess
Eventsformessages-CQRS,Techniques,Assess
MeasurePipelinedisruptions,Techniques,Assess
ContinuousExperimentation,Techniques,Assess
SaaSfornon-coresystems,Techniques,Trial
PairProgramming,Techniques,Trial
iOSAccessibility,Techniques,Trial
SinglePageApp,Techniques,Trial
iOSAdaptivity,Techniques,Trial
BuildPipelines,Techniques,Trial
DataInformedDecionMaking,Techniques,Trial
PolygotProgramming,Techniques,Trial
Isolateddevenvs,Techniques,Trial
EdgeServices,Techniques,Trial
CleanCode,Techniques,Trial
Valuable,Techniques,Trial
SacrificialArchitecture,Techniques,Adopt
Sensibledefaults,Techniques,Adopt
DependencyInjection,Techniques,Adopt
Codingarchitects,Techniques,Adopt
Docker,Tools,Trial
bind,Tools,Trial
Appium,Tools,Trial
AndroidStudio,Tools,Trial
ResponsiveAndroid,Tools,Trial
AutoLayout-iOS,Tools,Trial
Kiwi-iOSunittest,Tools,Trial
BEM,Tools,Trial
Crashlytics,Tools,Trial
Git,Tools,Trial
Ansible,Tools,Assess
HipChat,Tools,Assess
Trello,Tools,Assess
JDBI,Tools,Adopt
AppManager,Tools,Hold
Hibernate,Tools,Hold
mongoDB,Tools,Hold
Subversion,Tools,Hold
OpenIdConnect,Platforms,Trial
Locationbasedservices,Platforms,Trial
Openstack,Platforms,Trial
RHEL7,Platforms,Trial
Appcontainers,Platforms,Assess
GoogleCloudDataFlow,Platforms,Assess
PostgresasNoSQL,Platforms,Assess
AWS2014Innovations,Platforms,Assess
Azure,Platforms,Assess
Mesos,Platforms,Assess
Marathon,Platforms,Assess
Kubernetes,Platforms,Assess
GoogleAppEngine,Platforms,Assess
Googleascorporateplatform,Platforms,Assess
GooglePlay-(alpha/betabuilds),Platforms,Adopt
JVMasplatform,Platforms,Adopt
AWS,Platforms,Adopt
BigIPv11,Platforms,Adopt
RubyOnRails,Platforms,Hold
Everest,Platforms,Hold
MagnoliaCMS,Platforms,Hold
JavaEE-theBadParts,Platforms,Hold
MSSqlServer,Platforms,Hold
RHEL5,Platforms,Hold
CDI,Languages,Adopt
Jersey,Languages,Adopt
Guice,Languages,Adopt
RxJava,Languages,Trial
Java8,Languages,Trial
Groovy,Languages,Trial
Swift,Languages,Assess
Scala-thegoodparts,Languages,Assess
ServersideJavascript,Languages,Assess
Coffeescript,Languages,Assess
FunctionalReactiveProgramming,frameowrk,Assess
Clojure,Languages,Assess
RxJs,Languages,Assess
WebComponents,Languages,Assess
Mustache/Handlebarstemplate,Languages,Adopt
Spring,Languages,Hold
WebObjects,Languages,Hold
ASPClassic,Languages,Hold
Java6andearlier,Languages,Hold
Java6andearlier,Languages,Hold
